title,description,skills,courses,course_links
Data Engineer,"Data Engineer job description: Responsibilities include designing, constructing, and maintaining scalable data pipelines and architectures for large-scale data processing and analytics. Proficiency in big data technologies such as Hadoop, Spark, and distributed systems is required. Data engineers work closely with data scientists and analysts to ensure data availability and reliability for analysis and reporting.","Big Data, Hadoop, Spark, Distributed Systems","Big Data Specialization by University of California, San Diego on Coursera, Apache Spark with Scala by Rock the JVM on Udemy, Data Engineering 2024: From Zero to ETL by Data Engineering Academy, Kafka Streams 2024: Real-time Data Processing and Stream Processing by Confluent","https://www.coursera.org/specializations/big-data, https://www.udemy.com/course/spark-streaming/?couponCode=LETSLEARNNOWPP, https://www.dataengineering.academy/courses/data-engineering-course-2024, https://www.confluent.io/training/kafka-streams/"
Cloud Solutions Architect,"Cloud Solutions Architect job description: Responsibilities include designing and implementing cloud-based solutions, selecting appropriate cloud services, and optimizing the architecture for performance, cost, and scalability. Proficiency in cloud platforms such as AWS, Azure, or Google Cloud is required. Cloud solutions architects work closely with development teams to ensure cloud applications meet business requirements and best practices.","Cloud Computing, AWS, Azure, Google Cloud","AWS Certified Solutions Architect - Associate by Amazon Web Services on Coursera, Google Cloud Platform Fundamentals: Core Infrastructure by Google on Coursera, Azure Solutions Architect 2024: Design and Implement Cloud Solutions by Azure Academy, DevOps for Architects: CI/CD Pipelines with Jenkins and Docker 2024 by Cloud Academy","https://www.coursera.org/learn/aws-certified-solutions-architect-associate, https://www.coursera.org/learn/gcp-fundamentals, https://www.azure-academy.com/p/azure-solutions-architect-2024-design-and-implement-cloud-solutions, https://cloudacademy.com/course/devops-for-architects-ci-cd-pipelines-with-jenkins-and-docker/"
Blockchain Developer,"Blockchain Developer job description: Responsibilities include designing and implementing decentralized applications (dApps), developing smart contracts, and integrating blockchain technology into existing systems. Proficiency in blockchain platforms such as Ethereum, Solidity, and web3.js is required. Blockchain developers collaborate with stakeholders to identify use cases and implement blockchain solutions.","Blockchain, Ethereum, Smart Contracts, dApps","Blockchain Specialization by University at Buffalo on Coursera, Ethereum and Solidity: The Complete Developer's Guide by Stephen Grider on Udemy, Blockchain Advanced Development 2024 by Blockchain Academy, Hyperledger Fabric 2024: Building Private Blockchain Networks by IBM","https://www.coursera.org/specializations/blockchain, https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/?couponCode=LETSLEARNNOWPP, https://www.blockchainacademy.com/blockchain-advanced-development-2024/, https://www.ibm.com/training/course/hyperledger-fabric-2024-building-private-blockchain-networks"
DevOps Engineer,"DevOps Engineer job description: Responsibilities include automating and streamlining software development and operations processes, managing infrastructure as code, and implementing continuous integration and deployment pipelines. Proficiency in tools such as Docker, Kubernetes, and Jenkins is required. DevOps engineers collaborate with development and operations teams to improve efficiency and reliability.","DevOps, Docker, Kubernetes, CI/CD","Docker Mastery: with Kubernetes +Swarm from a Docker Captain by Bret Fisher on Udemy, From Zero To Hero: Become a DevOps Jenkins Master by Level Up, Ramon Nastase on Udemy, DevOps 2024: The Complete CI/CD Pipeline with Jenkins and Kubernetes by DevOps Institute, Kubernetes for Developers: Core Concepts by KubeAcademy","https://www.udemy.com/course/docker-mastery/?couponCode=LETSLEARNNOWPP, https://www.udemy.com/course/jenkins-from-zero-to-hero/?couponCode=LETSLEARNNOWPP, https://www.devopsinstitute.com/devops-2024-the-complete-ci-cd-pipeline-with-jenkins-and-kubernetes/, https://kube.academy/courses/kubernetes-for-developers-core-concepts"
AI Ethicist,"AI Ethicist job description: Responsibilities include ensuring that artificial intelligence technologies and applications are developed and used ethically and responsibly. Proficiency in ethics, law, and understanding of AI technologies is required. AI ethicists collaborate with AI developers, policymakers, and stakeholders to address ethical concerns and develop guidelines for AI use.","Ethics, AI","AI Ethics and Society by Stanford University on Coursera, Ethics and Governance of AI by University of Helsinki on Coursera, Ethical AI 2024: Principles and Practices by AI Ethics Institute, AI and Bias 2024: Mitigating Bias in AI Systems by Data Ethics Academy","https://www.coursera.org/learn/ai-ethics, https://www.coursera.org/learn/ethics-of-artificial-intelligence, https://www.aiethicsinstitute.com/ethical-ai-2024-principles-and-practices, https://www.dataethicsacademy.org/ai-and-bias-2024-mitigating-bias-in-ai-systems"
Quantum Computing Specialist,"Quantum Computing Specialist job description: Responsibilities include researching and developing quantum algorithms, implementing quantum circuits, and analyzing quantum data. Proficiency in quantum programming languages such as Qiskit or Cirq, as well as knowledge of quantum computing principles, is required. Quantum computing specialists collaborate with physicists, mathematicians, and computer scientists to advance quantum computing technologies.","Quantum Computing, Qiskit, Cirq","Quantum Computing for Everyone by The Coding School on Coursera, Quantum Machine Learning by University of Toronto on Coursera, Quantum Algorithms and Applications 2024 by Quantum Computing Academy, Quantum Computing with Qiskit 2024 by IBM","https://www.coursera.org/courses?query=quantum%20computing, https://www.coursera.org/articles/quantum-machine-learning, https://www.quantumcomputingacademy.com/courses/quantum-algorithms-and-applications-2024, https://www.ibm.com/training/course/quantum-computing-with-qiskit-2024"
Augmented Reality (AR) Developer,"Augmented Reality (AR) Developer job description: Responsibilities include developing AR applications, integrating virtual elements into real-world environments, and optimizing user experiences for AR platforms. Proficiency in AR development frameworks such as ARKit or ARCore, as well as knowledge of computer vision and 3D graphics, is required. AR developers collaborate with designers and engineers to create immersive AR experiences.","Augmented Reality, ARKit, ARCore, Computer Vision","Introduction to Augmented Reality and ARCore by Google on Coursera, ARKit and Unity: Build AR Augmented Reality apps with Swift on Udemy, From Basics to Advanced Techniques by AR Academy, Augmented Reality 2024: Creating Immersive Experiences by AR Institute","https://www.coursera.org/learn/ar, https://www.udemy.com/course/ios-augmented-reality-the-complete-course-on-arkit/?couponCode=LETSLEARNNOWPP, https://www.ar-academy.com/p/augmented-reality-2024-from-basics-to-advanced-techniques, https://www.arinstitute.com/augmented-reality-2024-creating-immersive-experiences"
Chief Technology Officer (CTO),"Chief Technology Officer (CTO) job description: Responsibilities include setting the company's technical vision, overseeing product development, and implementing technology strategies to align with business goals. Strong leadership, strategic planning, and technical expertise across various domains are required. CTOs collaborate with executives, engineers, and other stakeholders to drive innovation and growth.","Leadership, Strategic Planning, Technical Expertise","Strategic Technology Management by Copenhagen Business School on Coursera, Leading Digital Transformation and Innovation by INSEAD on Coursera, CTO Leadership 2024: Navigating the Technology Landscape by CTO Institute, Chief Technology Officer Mastery 2024: Strategies for Success by CTO Academy","https://www.coursera.org/specializations/technology-management, https://www.coursera.org/insead, https://www.ctoinstitute.com/cto-leadership-2024-navigating-the-technology-landscape, https://www.ctoacademy.com/chief-technology-officer-mastery-2024-strategies-for-success"
Computer Vision Engineer,"Computer Vision Engineer job description: Responsibilities include developing algorithms for image and video analysis, implementing object detection and recognition systems, and optimizing computer vision models for real-world applications. Proficiency in programming languages such as Python and experience with deep learning frameworks like TensorFlow or OpenCV is required. Computer vision engineers collaborate with researchers and software engineers to deploy computer vision solutions.","Computer Vision, Image Processing, Deep Learning","Deep Learning for Computer Vision by Stanford University on Coursera, Computer Vision by Georgia Institute of Technology on Udacity, Computer Vision 2024: Advanced Techniques and Applications by CV Academy, Image Processing and Computer Vision Bootcamp 2024 by Computer Vision Institute","https://www.coursera.org/specializations/deep-learning-computer-vision, https://www.udacity.com/course/computer-vision-basics--ud810, https://www.cv-academy.com/courses/computer-vision-2024-advanced-techniques-and-applications, https://www.computervision.institute/courses/image-processing-and-computer-vision-bootcamp-2024"
Bioinformatics Scientist,"Bioinformatics Scientist job description: Responsibilities include analyzing biological data, developing computational algorithms for genomics research, and interpreting genetic information. Proficiency in programming languages such as Python or R, as well as knowledge of bioinformatics tools and databases, is required. Bioinformatics scientists collaborate with biologists and medical researchers to advance understanding in genetics and personalized medicine.","Bioinformatics, Genomics, Computational Biology","Bioinformatics Specialization by University of California, San Diego on Coursera, Genomic Data Science Specialization by Johns Hopkins University on Coursera, Bioinformatics 2024: Advanced Techniques and Applications by Bioinformatics Institute, Computational Biology and Bioinformatics Bootcamp 2024 by Bioinformatics Academy","https://www.coursera.org/specializations/bioinformatics, https://www.coursera.org/specializations/genomic-data-science, https://www.bioinformatics.institute/courses/bioinformatics-2024-advanced-techniques-and-applications, https://www.bioinformatics.academy/courses/computational-biology-and-bioinformatics-bootcamp-2024"
